Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
"904142558","","NEWT","TRAD","2024-02-17T01:42:46Z","false","CO","Commodity:Agricultural:GrainsOilSeeds:Swap:Cash","N","false","2024-02-17T01:42:46Z","2024-02-16","2024-03-14","","true","XOFF","false","false","false","5","","USD","","","","115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7025","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","CORN CBT","","","","","false","","","","","","","","","","",""
"904142559","","NEWT","TRAD","2024-02-17T01:42:49Z","false","CO","Commodity:Agricultural:GrainsOilSeeds:Swap:Cash","N","false","2024-02-17T01:42:49Z","2024-02-16","2024-03-14","","true","XOFF","false","false","false","5","","USD","","","","290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.11","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","WHEAT HRW KCBT","","","","","false","","","","","","","","","","",""
"904142560","","NEWT","TRAD","2024-02-17T01:42:53Z","false","CO","Commodity:Agricultural:GrainsOilSeeds:Swap:Cash","N","false","2024-02-17T01:42:53Z","2024-02-16","2024-03-14","","true","XOFF","false","false","false","5","","USD","","","","290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.11","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","WHEAT HRW KCBT","","","","","false","","","","","","","","","","",""
"904142561","","NEWT","TRAD","2024-02-17T01:42:49Z","false","CO","Commodity:Agricultural:GrainsOilSeeds:Swap:Cash","N","false","2024-02-17T01:42:49Z","2024-02-16","2024-12-13","","true","XOFF","false","false","false","5","","USD","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8675","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","CORN CBT","","","","","false","","","","","","","","","","",""
"904142562","","NEWT","TRAD","2024-02-17T01:42:54Z","false","CO","Commodity:Agricultural:GrainsOilSeeds:Swap:Cash","N","false","2024-02-17T01:42:54Z","2024-02-16","2024-03-14","","true","XOFF","false","false","false","5","","USD","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5175","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","CORN CBT","","","","","false","","","","","","","","","","",""
"904142563","","NEWT","TRAD","2024-02-17T01:42:59Z","false","CO","Commodity:Agricultural:GrainsOilSeeds:Swap:Cash","N","false","2024-02-17T01:42:59Z","2024-02-16","2024-03-14","","true","XOFF","false","false","false","5","","USD","","","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.61","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","CORN CBT","","","","","false","","","","","","","","","","",""
"904142564","","NEWT","TRAD","2024-02-17T01:43:02Z","false","CO","Commodity:Agricultural:GrainsOilSeeds:Swap:Cash","N","false","2024-02-17T01:43:02Z","2024-02-16","2024-05-14","","true","XOFF","false","false","false","5","","USD","","","","1,200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","SOYBEAN CBT","","","","","false","","","","","","","","","","",""
"904142565","","NEWT","TRAD","2024-02-17T01:42:59Z","false","CO","Commodity:Agricultural:GrainsOilSeeds:Swap:Cash","N","false","2024-02-17T01:42:59Z","2024-02-16","2024-07-12","","true","XOFF","false","false","false","5","","USD","","","","1,000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","SOYBEAN CBT","","","","","false","","","","","","","","","","",""
"904142566","","NEWT","TRAD","2024-02-17T01:42:54Z","false","CO","Commodity:Agricultural:GrainsOilSeeds:Swap:Cash","N","false","2024-02-17T01:42:54Z","2024-02-16","2024-03-14","","true","XOFF","false","false","false","5","","USD","","","","2,500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.59","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","CORN CBT","","","","","false","","","","","","","","","","",""
"904142567","","NEWT","TRAD","2024-02-17T01:43:03Z","false","CO","Commodity:Agricultural:GrainsOilSeeds:Swap:Cash","N","false","2024-02-17T01:43:03Z","2024-02-16","2024-03-14","","true","XOFF","false","false","false","5","","USD","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","376.9","USD","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","USD","","","false","","Agricultural","","","","SOYMEAL CBT","","","","","false","","","","","","","","","","",""
